,empty_slots,free_bikes,id,latitude,longitude,name
138,16,15,ac728f271b196e19899f2323fb8d7795,45.48752158511353,-73.56500297784805,Richmond / des Bassins
139,16,19,b7ada511785aef5b618c37fda2b1babe,45.51025293429709,-73.55677664279938,Métro Champ-de-Mars (Viger / Sanguinet)
140,61,20,0a3aa715457ea0c777ddd396228eafd1,45.50761009451047,-73.55183601379395,de la Commune / Place Jacques-Cartier
141,15,4,f6f620ef83bbb9c0e42133ca15de895b,45.495369835210354,-73.56859177350998,St-Antoine / de la Montagne
142,19,4,d0d69596bd800f2c32acc72647e584df,45.491366875439965,-73.57010722160338,St-Jacques / Guy
143,12,5,6b9099f3e501e72b5a268e0346c2f546,45.4891,-73.57656,Métro Georges-Vanier (St-Antoine / Canning)
144,13,9,85f495db4bcf79e15029dcc21da9b2a7,45.52423612093815,-73.58155220746994,Métro Mont-Royal (Utilités publiques / Rivard)
145,0,11,3769158e8eb9733a512dab1700d12f9e,45.527070404438426,-73.59791234135628,St-Viateur / Casgrain
146,25,22,8c3e8bbf15685f205ba044dbeac4960a,45.49544692088696,-73.56329441070557,Peel / Notre-Dame
147,20,5,567cbde732fdd0fb13d545dd1b5e963c,45.480495143306044,-73.57782661914825,Atwater / Greene
148,17,2,cf8b3b1e14a33a9204cbf9e889a7b613,45.485047979822774,-73.5719633102417,Georges-Vanier / Notre-Dame
149,56,15,918f32736e8c298b4c7a5a58f6e46da5,45.49750375338383,-73.55284452438353,de la Commune / King
150,19,0,7214c61eb7f8d875d6db8db935ad16ea,45.49276061084002,-73.55641052126883,Smith / Peel
151,13,8,5782e71fd4ba8263a67de59b093dc320,45.49716534003792,-73.55933010578154,William / Robert-Bourassa
152,4,11,31c3024050ee6f3e44c85eceae251db1,45.48972725318433,-73.56406286358833,Ottawa / William
153,16,7,5b7a4c0ffaa2aeb1b8583498e113e81d,45.51522812881499,-73.5750961303711,des Pins / St-Laurent
154,21,1,15f3a0b338dba26f99a8df6fab3fdbc7,45.52719536319051,-73.5645255446434,Émile-Duployé / Sherbrooke
155,11,24,aa392581e19d48cf19a168a0dfa88f4b,45.48952522221574,-73.5844581949641,Métro Atwater (Atwater / Ste-Catherine)
156,29,12,afb936a3ae54566d7c227dc5b6ee94f3,45.50788520688478,-73.56315059590997,Complexe Desjardins (St-Urbain / René-Lévesque)
157,10,9,2161b54e140d2fef14c6e7e11fd117ae,45.496496027653734,-73.57870370149612,de Maisonneuve / Mackay
158,7,3,35a3fc31a53a65ec37c4572ee700c30a,45.52933653055564,-73.57795268297195,du Mont-Royal / de Brébeuf
159,26,8,0c1e06741c10b812a0cef5265fa4f76f,45.50373771539475,-73.56948494911194,Ste-Catherine / Union
