,bar_name,station_id,popularity,fs_price,fs_rating,fs_total_counts,review_count,yelp_rating,yelp_price,yelp_total_counts
115,La Porte Rouge,e335f2f5ad674c200bb9795ee863749c,0.9208146895316393,2.0,6.3,4.0,,,,
116,Pub BreWskey,30efd061ab22a0caa3dc67f5e027154e,0.9912079756221144,1.0,8.9,7.0,,,,
117,Cold Room,30efd061ab22a0caa3dc67f5e027154e,0.9576598371477304,3.0,8.7,9.0,,,,
118,Perché,30efd061ab22a0caa3dc67f5e027154e,0.9697274615170524,2.0,8.3,7.0,,,,
119,Terrasse Place d'Armes,30efd061ab22a0caa3dc67f5e027154e,0.9753223861211616,3.0,8.8,17.0,68.0,3.5,2.0,18.0
120,Modavie,30efd061ab22a0caa3dc67f5e027154e,0.9911294754044544,2.0,8.5,12.0,,,,
121,Pub Wolf & Workman,30efd061ab22a0caa3dc67f5e027154e,0.9745017020274466,2.0,8.8,16.0,,,,
122,Rebel Brasserie Urbaine,76d6ac391db2e789d1696e32fccf92f6,0.8936393414545377,3.0,8.1,6.0,,,,
123,Bar l'aigle Noir,76d6ac391db2e789d1696e32fccf92f6,0.9849279582093386,2.0,7.9,5.0,,,,
124,Bar le Stud,76d6ac391db2e789d1696e32fccf92f6,0.993470209167398,2.0,7.5,6.0,,,,
125,Bistro Tendresse,76d6ac391db2e789d1696e32fccf92f6,0.9561112419448072,3.0,7.8,4.0,,,,
126,Le National,76d6ac391db2e789d1696e32fccf92f6,0.9417028838125416,2.0,7.6,3.0,,,,
127,Bar Stock&Lounge,76d6ac391db2e789d1696e32fccf92f6,0.9770708000599456,2.0,7.4,2.0,,,,
128,District Video Lounge,76d6ac391db2e789d1696e32fccf92f6,0.9774418919979732,3.0,7.3,5.0,,,,
129,Tiradito,cecb49c91023c7469470569da814659e,0.9509516367295382,2.0,8.6,20.0,150.0,4.0,3.0,10.0
130,Nacarat,cecb49c91023c7469470569da814659e,0.9825586789127008,3.0,8.9,25.0,28.0,4.0,3.0,24.0
131,Escondite,cecb49c91023c7469470569da814659e,0.9734026989802108,2.0,8.7,43.0,247.0,4.0,2.0,16.0
132,Nyks Bistro Pub,cecb49c91023c7469470569da814659e,0.992235614835114,2.0,8.8,22.0,,,,
133,Tommy,cecb49c91023c7469470569da814659e,0.9809387198755416,1.0,8.4,15.0,,,,
134,Bord'Elle,cecb49c91023c7469470569da814659e,0.974730066297002,3.0,7.8,4.0,,,,
135,Soubois,69f583a85e1a83b443c203b781bfc0c9,0.9849850492767276,2.0,8.5,18.0,38.0,3.0,4.0,5.0
136,Bar George,69f583a85e1a83b443c203b781bfc0c9,0.977284891562654,3.0,8.5,17.0,,,,
137,Bar Cloakroom,69f583a85e1a83b443c203b781bfc0c9,0.9756506597586476,3.0,8.6,14.0,,,,
138,Ye Olde Orchard Pub & Grill,69f583a85e1a83b443c203b781bfc0c9,0.9777987111691536,2.0,8.3,22.0,,,,
139,Escondite,69f583a85e1a83b443c203b781bfc0c9,0.9645892654520544,1.0,8.1,43.0,,,,
140,Brass Door,69f583a85e1a83b443c203b781bfc0c9,0.9632333526015686,1.0,8.0,6.0,,,,
141,Upstairs Jazz Bar & Grill,69f583a85e1a83b443c203b781bfc0c9,0.9832152261876728,2.0,8.4,17.0,,,,
142,C'Cho-Colat,69f583a85e1a83b443c203b781bfc0c9,0.9745587930948354,1.0,8.1,12.0,,,,
143,La Cage,7efdfc0229daac74cfa58a8a39d13ac2,0.99533280524096,1.0,8.4,12.0,,,,
144,Benelux,650b371db12a750bd2db8da8ecfa0890,0.9899876540566772,1.0,8.5,11.0,127.0,4.0,2.0,7.0
145,Pullman,650b371db12a750bd2db8da8ecfa0890,0.969534779164615,2.0,8.6,16.0,204.0,4.0,2.0,4.0
146,McKibbin's Irish Pub,650b371db12a750bd2db8da8ecfa0890,0.9877182841279696,2.0,8.2,14.0,62.0,3.5,2.0,7.0
147,Biiru,650b371db12a750bd2db8da8ecfa0890,0.96940632426299,2.0,8.2,11.0,,,,
148,Siboire,1013ec013026d8e51b4e126c5c72c5c8,0.9792045787036046,2.0,7.7,4.0,,,,
149,Taverne Metro-Pub,04f6eaaa0d7993020973687c13f41663,0.9615563024970204,2.0,8.2,4.0,,,,
150,Bar Sexe Mania,04f6eaaa0d7993020973687c13f41663,0.9524574136319196,2.0,8.2,3.0,,,,
151,The Kath Women,04f6eaaa0d7993020973687c13f41663,0.0899612494380098,1.0,8.2,3.0,,,,
152,Bar Fullum,04f6eaaa0d7993020973687c13f41663,0.9643252192653808,2.0,8.2,4.0,,,,
153,Pro Max Pub,04f6eaaa0d7993020973687c13f41663,0.3763371798439986,2.0,8.2,3.0,,,,
154,Pro-Max Pub,04f6eaaa0d7993020973687c13f41663,0.1991978705031864,2.0,8.2,2.0,,,,
155,Astral 2000,04f6eaaa0d7993020973687c13f41663,0.9325112219629336,2.0,5.2,1.0,,,,
156,Alfred's Damn Right Joint,04f6eaaa0d7993020973687c13f41663,0.8996190724673447,2.0,8.2,2.0,,,,
157,Bier Markt,81e413363c9c2b6933f4706dd9fafc6b,0.99135783967401,2.0,7.7,6.0,,,,
158,Etoh Brasserie,f9d30314d14794ea0c378ba2c1ee0c5d,0.9894881072170244,2.0,8.4,4.0,,,,
159,Bar la Québécoise,f9d30314d14794ea0c378ba2c1ee0c5d,0.9044438259578812,1.0,7.1,4.0,,,,
160,Bar Pam Pam,9836aac1ee4659e9103ab4a3ac10c9e0,0.81946377214955,1.0,8.2,4.0,,,,
161,Ritz Bar,9836aac1ee4659e9103ab4a3ac10c9e0,0.4635366488970719,2.0,8.2,2.0,,,,
162,Cozmos Café Bar,9836aac1ee4659e9103ab4a3ac10c9e0,0.9908154745338158,1.0,8.2,4.0,,,,
163,Bande Paul,9836aac1ee4659e9103ab4a3ac10c9e0,0.5851477588187858,2.0,8.2,3.0,,,,
164,Bar Sportivo,9836aac1ee4659e9103ab4a3ac10c9e0,0.9392979225987854,1.0,5.7,1.0,,,,
165,Kamehameha Snack-Bar,6086b10ac3a09a5ad176d6a32deaf0ad,0.9050504185488878,2.0,7.3,1.0,,,,
166,Le Bureau Bar a Tapas,ede6b6e636d0057c3569441aad58f64c,0.9452425299906514,3.0,8.3,16.0,,,,
167,Monopole,ede6b6e636d0057c3569441aad58f64c,0.9713117386370936,1.0,8.7,11.0,21.0,5.0,2.0,11.0
168,Zibo,ede6b6e636d0057c3569441aad58f64c,0.9882178309676224,2.0,7.8,9.0,,,,
169,Milky Way Cocktail Bar,ede6b6e636d0057c3569441aad58f64c,0.9785551678120562,3.0,8.6,6.0,,,,
170,Bird Bar,ede6b6e636d0057c3569441aad58f64c,0.9537490990315928,1.0,7.9,8.0,,,,
171,Knox Taverne,ede6b6e636d0057c3569441aad58f64c,0.9693278240453304,2.0,8.1,7.0,,,,
172,New City Gas,ede6b6e636d0057c3569441aad58f64c,0.9793901246726184,2.0,7.7,9.0,,,,
173,Lord William Pub,ede6b6e636d0057c3569441aad58f64c,0.98012517216525,1.0,7.5,9.0,,,,
174,Resto-pub le 100 génies,ede6b6e636d0057c3569441aad58f64c,0.9895737438181078,2.0,6.5,5.0,,,,
175,Association Montréal Beach,ede6b6e636d0057c3569441aad58f64c,0.4137746472842493,2.0,8.2,1.0,,,,
