,fsq_id,distance,name,popularity,price,rating,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,geocodes.drop_off.latitude,geocodes.drop_off.longitude,station_id,location.address_extended,geocodes.front_door.latitude,geocodes.front_door.longitude
45,4de0837ec65bcc724f423d55,798.0,Morelli,0.1116772641960507,2.0,,45.546607,-73.551897,45.546607,-73.551897,3497 Hochelaga Rue,CA,Aylwin,"3497 Hochelaga Rue (Aylwin), Montréal QC H1W 1C4",Montréal,H1W 1C4,QC,45.546454,-73.551655,e287c24d95d9f0e3767d167d83ecebcd,,,
46,b60737e7cfeb43165b412c9a,807.0,Taverne Morelli,,,,45.546438,-73.551843,45.546438,-73.551843,3529 Hochelaga Rue,CA,,"3529 Hochelaga Rue, Montreal QC H1W 1H8",Montreal,H1W 1H8,QC,45.546357,-73.551716,e287c24d95d9f0e3767d167d83ecebcd,,,
47,5606f3e59a184b4d75b78b9a,188.0,Resto-Bar Lucky 7,0.6085265509145276,,,45.563378,-73.610229,45.563378,-73.610229,3207 Jarry Rue E,CA,,"3207 Jarry Rue E, Montréal QC H1Z 2E3",Montréal,H1Z 2E3,QC,,,bfc27d829d7ce8c0f9e55b1cab901cbb,,,
48,57aca538498efa5e389d018a,601.0,Cherry Bar Inc,0.9025526843506247,2.0,,45.564695,-73.604211,45.564695,-73.604211,3398 Cremazie Blvd E,CA,,"3398 Cremazie Blvd E, Montréal QC H2A 1A4",Montréal,H2A 1A4,QC,,,bfc27d829d7ce8c0f9e55b1cab901cbb,,,
49,48d57f4a1808476d9b42c59d,771.0,Brasserie Place 37,0.8063542358003811,,,45.567168,-73.61661,45.567168,-73.61661,8489 Saint-Michel Blvd,CA,,"8489 Saint-Michel Blvd, Montréal QC H1Z 3E7",Montréal,H1Z 3E7,QC,,,bfc27d829d7ce8c0f9e55b1cab901cbb,,,
50,2069e40c3f484191f0149871,892.0,Perandello Sport Bar,0.3135084601825487,,,45.568296,-73.617036,45.568296,-73.617036,3280 Robert Blvd,CA,,"3280 Robert Blvd, Montréal QC H1Z 1Y4",Montréal,H1Z 1Y4,QC,,,bfc27d829d7ce8c0f9e55b1cab901cbb,,,
51,34c15ba7ec3c4fa2619b1274,377.0,Brasserie Chez le Pere Gedeon,,,,45.561823,-73.605669,45.561823,-73.605669,7682 Saint-Michel Blvd,CA,,"7682 Saint-Michel Blvd, Montreal QC H2A 3A5",Montreal,H2A 3A5,QC,45.561953,-73.605611,bfc27d829d7ce8c0f9e55b1cab901cbb,,,
52,0676e51e2d2f425b5977cdac,660.0,Action Production a N J,,,,45.567083,-73.606956,45.567083,-73.606956,3565 Jarry 112 Estate,CA,,"3565 Jarry 112 Estate, Montreal QC H1Z 4K6",Montreal,H1Z 4K6,QC,45.566931,-73.606789,bfc27d829d7ce8c0f9e55b1cab901cbb,# 112,,
53,61fbec86eea3a30441af3db2,748.0,Vin Prendre Une Bière,0.6761509202366425,2.0,,45.533376,-73.661632,45.533376,-73.661632,4272 Beaubien Rue E,CA,,"4272 Beaubien Rue E, Montréal QC H1T 1S6",Montréal,H1T 1S6,QC,45.533256,-73.661422,1ff33fd73e2add3c30fcd821850dccd3,,,
54,4ce5d01eb9975481ecb9ec44,831.0,Resto Bar Trophys,0.978269712475112,2.0,,45.533067,-73.646646,45.533067,-73.646646,750 Cremazie Blvd O,CA,acadie,"750 Cremazie Blvd O (acadie), Montréal QC H3N 1A2",Montréal,H3N 1A2,QC,,,1ff33fd73e2add3c30fcd821850dccd3,,,
